sno,registration_no,project_name,promoter_name,district,project_type
944,UPRERAPRJ11625,"SUNWORLD ARISTA (PH-2 T-5,7,8,9), CLUB",Sunworld Residency Private Limited; NIMBUS PROJECTS LIMITED,Gautam Buddha Nagar,Residential
945,UPRERAPRJ11577,Sunworld Vanalika Phase-II,Sunworld Developers Private Limited,Gautam Buddha Nagar,Residential
946,UPRERAPRJ14910,Super Avenue,SUPER BUILDCON,Gautam Buddha Nagar,Residential
947,UPRERAPRJ7223,SUPERNOVA PHASE-I (NOVA EAST AND NOVA WEST),SUPERTECH REALTORS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
948,UPRERAPRJ5720,SUPERNOVA PHASE-II (SPIRA),SUPERTECH REALTORS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
949,UPRERAPRJ7263,SUPERNOVA PHASE-III (ASTRALIS - COMMERCIAL),SUPERTECH REALTORS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
950,UPRERAPRJ526534,SUPERNOVA PHASE-IV (RETAIL/COMMERCIAL),SUPERTECH REALTORS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
951,UPRERAPRJ5017,SUPERTECH CAPETOWN (PHASE-I),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
952,UPRERAPRJ17551,SUPERTECH CAPETOWN (PHASE-V),SUPERTECH ORB PROJECT PRIVATE LIMITED,Gautam Buddha Nagar,Residential
953,UPRERAPRJ8319,Supertech Eco Village-3 Phase-3,SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
954,UPRERAPRJ4318,SUPERTECH ECO VILLAGE-I (PHASE-I),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
955,UPRERAPRJ4830,SUPERTECH ECO VILLAGE-I (PHASE-II),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
956,UPRERAPRJ4878,SUPERTECH ECO VILLAGE-I (PHASE-III),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
957,UPRERAPRJ8334,SUPERTECH ECO VILLAGE-I PHASE I-C,SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
958,UPRERAPRJ4917,SUPERTECH ECO VILLAGE-II (PHASE-II),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
959,UPRERAPRJ4939,SUPERTECH ECO VILLAGE-II (PHASE-III),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
960,UPRERAPRJ4968,SUPERTECH ECO VILLAGE-II (PHASE-IV),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
961,UPRERAPRJ8337,SUPERTECH ECO VILLAGE-II PHASE I-C,SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
962,UPRERAPRJ604,SUPERTECH ECO VILLAGE-III (PHASE-I),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
963,UPRERAPRJ4714,SUPERTECH ECO VILLAGE-III (PHASE-II),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
964,UPRERAPRJ9744,SUPERTECH ECOCITI - PHASE-1,SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
965,UPRERAPRJ5848,SUPERTECH GOLF COUNTRY (PHASE-I),SUPERTECH TOWNSHIP PROJECT LIMITED,Gautam Buddha Nagar,Residential
966,UPRERAPRJ5854,SUPERTECH GOLF COUNTRY (PHASE-II),SUPERTECH TOWNSHIP PROJECT LIMITED,Gautam Buddha Nagar,Residential
